year,baseline_region,site,species,site_counts_total,density_60m2_mean,density_60m2_sd,density_m2_mean,density_m2_sd
2008,CENTRAL,CANNERY_UC,Strongylocentrotus purpuratus,49,8.166666666666666,7.782458908768273,0.1361111111111111,0.12970764847947122
2008,CENTRAL,CHINA_ROCK,Strongylocentrotus purpuratus,12,4,3,0.06666666666666667,0.05
2008,CENTRAL,CYPRESS_PT_DC,Mesocentrotus franciscanus,1,1,NA,0.016666666666666666,NA
2008,CENTRAL,CYPRESS_PT_DC,Strongylocentrotus purpuratus,3,1.5,0.7071067811865476,0.025,0.011785113019775792
2008,CENTRAL,CYPRESS_PT_UC,Mesocentrotus franciscanus,3,1.5,0.7071067811865476,0.025,0.011785113019775792
2008,CENTRAL,HOPKINS_DC,Mesocentrotus franciscanus,1,1,NA,0.016666666666666666,NA
2008,CENTRAL,HOPKINS_DC,Strongylocentrotus purpuratus,6,2,1,0.03333333333333333,0.01666666666666667
2008,CENTRAL,HOPKINS_UC,Mesocentrotus franciscanus,11,3.6666666666666665,3.055050463303893,0.06111111111111111,0.05091750772173155
2008,CENTRAL,HOPKINS_UC,Strongylocentrotus purpuratus,46,11.5,13.820274961085254,0.19166666666666668,0.23033791601808756
2008,CENTRAL,LONE_TREE,Strongylocentrotus purpuratus,10,5,4.242640687119285,0.08333333333333333,0.07071067811865475
2008,CENTRAL,MACABEE_DC,Mesocentrotus franciscanus,5,1.6666666666666667,0.5773502691896257,0.027777777777777776,0.009622504486493762
2008,CENTRAL,MACABEE_DC,Strongylocentrotus purpuratus,21,5.25,3.947573094109004,0.0875,0.06579288490181673
2008,CENTRAL,MACABEE_UC,Mesocentrotus franciscanus,7,2.3333333333333335,1.1547005383792515,0.03888888888888889,0.019245008972987525
2008,CENTRAL,MACABEE_UC,Strongylocentrotus purpuratus,39,9.75,10.965856099730654,0.1625,0.18276426832884424
2008,CENTRAL,MONASTERY_DC,Strongylocentrotus purpuratus,1,1,NA,0.016666666666666666,NA
2008,CENTRAL,MONASTERY_UC,Mesocentrotus franciscanus,1,1,NA,0.016666666666666666,NA
2008,CENTRAL,MONASTERY_UC,Strongylocentrotus purpuratus,3,1.5,0.7071067811865476,0.025,0.011785113019775792
2008,CENTRAL,OTTER_PT_DC,Strongylocentrotus purpuratus,24,4,1.6733200530681511,0.06666666666666667,0.027888667551135855
