group_code,marine_site_name,site_code,site_lat,site_long,ltm_lat,ltm_long,marine_sort_order,marine_common_year,season_name,marine_season_code,marine_common_season,min_survey_date,max_survey_date,target_assemblage,species_code,size_bin,total,num_plots_sampled,state_province,georegion,bioregion,mpa_designation,mpa_region,mpa_lt_region,mpa_name,island,last_updated
UCSC,Scott Creek,SCT,37.04425049,-122.23493,37.04425049,-122.23493,6030,2013,Fall,FA13,131,2013-10-19,2013-10-19,mytilus,MYTCAL,90,1,5,California,CA Central,San Francisco to Government Point,SMCA,Central Coast,Central Coast,Greyhound Rock SMCA,Mainland,2024-06-03 7:15:44 PM
UCSC,Scott Creek,SCT,37.04425049,-122.23493,37.04425049,-122.23493,6030,2013,Fall,FA13,131,2013-10-19,2013-10-19,mytilus,MYTCAL,20,1,5,California,CA Central,San Francisco to Government Point,SMCA,Central Coast,Central Coast,Greyhound Rock SMCA,Mainland,2024-06-03 7:15:44 PM
UCSC,Scott Creek,SCT,37.04425049,-122.23493,37.04425049,-122.23493,6030,2013,Fall,FA13,131,2013-10-19,2013-10-19,mytilus,MYTCAL,30,3,5,California,CA Central,San Francisco to Government Point,SMCA,Central Coast,Central Coast,Greyhound Rock SMCA,Mainland,2024-06-03 7:15:44 PM
UCSC,Scott Creek,SCT,37.04425049,-122.23493,37.04425049,-122.23493,6030,2013,Fall,FA13,131,2013-10-19,2013-10-19,mytilus,MYTCAL,40,7,5,California,CA Central,San Francisco to Government Point,SMCA,Central Coast,Central Coast,Greyhound Rock SMCA,Mainland,2024-06-03 7:15:44 PM
UCSC,Scott Creek,SCT,37.04425049,-122.23493,37.04425049,-122.23493,6030,2013,Fall,FA13,131,2013-10-19,2013-10-19,mytilus,MYTCAL,50,13,5,California,CA Central,San Francisco to Government Point,SMCA,Central Coast,Central Coast,Greyhound Rock SMCA,Mainland,2024-06-03 7:15:44 PM
UCSC,Scott Creek,SCT,37.04425049,-122.23493,37.04425049,-122.23493,6030,2013,Fall,FA13,131,2013-10-19,2013-10-19,mytilus,MYTCAL,60,19,5,California,CA Central,San Francisco to Government Point,SMCA,Central Coast,Central Coast,Greyhound Rock SMCA,Mainland,2024-06-03 7:15:44 PM
UCSC,Scott Creek,SCT,37.04425049,-122.23493,37.04425049,-122.23493,6030,2013,Fall,FA13,131,2013-10-19,2013-10-19,mytilus,MYTCAL,70,8,5,California,CA Central,San Francisco to Government Point,SMCA,Central Coast,Central Coast,Greyhound Rock SMCA,Mainland,2024-06-03 7:15:44 PM
UCSC,Scott Creek,SCT,37.04425049,-122.23493,37.04425049,-122.23493,6030,2013,Fall,FA13,131,2013-10-19,2013-10-19,mytilus,MYTCAL,80,2,5,California,CA Central,San Francisco to Government Point,SMCA,Central Coast,Central Coast,Greyhound Rock SMCA,Mainland,2024-06-03 7:15:44 PM
UCSC,Scott Creek,SCT,37.04425049,-122.23493,37.04425049,-122.23493,6030,2014,Fall,FA14,135,2014-10-08,2014-10-08,mytilus,MYTCAL,90,3,5,California,CA Central,San Francisco to Government Point,SMCA,Central Coast,Central Coast,Greyhound Rock SMCA,Mainland,2024-06-03 7:15:44 PM
UCSC,Scott Creek,SCT,37.04425049,-122.23493,37.04425049,-122.23493,6030,2014,Fall,FA14,135,2014-10-08,2014-10-08,mytilus,MYTCAL,100,1,5,California,CA Central,San Francisco to Government Point,SMCA,Central Coast,Central Coast,Greyhound Rock SMCA,Mainland,2024-06-03 7:15:44 PM
UCSC,Scott Creek,SCT,37.04425049,-122.23493,37.04425049,-122.23493,6030,2014,Fall,FA14,135,2014-10-08,2014-10-08,mytilus,MYTCAL,20,1,5,California,CA Central,San Francisco to Government Point,SMCA,Central Coast,Central Coast,Greyhound Rock SMCA,Mainland,2024-06-03 7:15:44 PM
UCSC,Scott Creek,SCT,37.04425049,-122.23493,37.04425049,-122.23493,6030,2014,Fall,FA14,135,2014-10-08,2014-10-08,mytilus,MYTCAL,30,5,5,California,CA Central,San Francisco to Government Point,SMCA,Central Coast,Central Coast,Greyhound Rock SMCA,Mainland,2024-06-03 7:15:44 PM
UCSC,Scott Creek,SCT,37.04425049,-122.23493,37.04425049,-122.23493,6030,2014,Fall,FA14,135,2014-10-08,2014-10-08,mytilus,MYTCAL,40,11,5,California,CA Central,San Francisco to Government Point,SMCA,Central Coast,Central Coast,Greyhound Rock SMCA,Mainland,2024-06-03 7:15:44 PM
UCSC,Scott Creek,SCT,37.04425049,-122.23493,37.04425049,-122.23493,6030,2014,Fall,FA14,135,2014-10-08,2014-10-08,mytilus,MYTCAL,50,8,5,California,CA Central,San Francisco to Government Point,SMCA,Central Coast,Central Coast,Greyhound Rock SMCA,Mainland,2024-06-03 7:15:44 PM
UCSC,Scott Creek,SCT,37.04425049,-122.23493,37.04425049,-122.23493,6030,2014,Fall,FA14,135,2014-10-08,2014-10-08,mytilus,MYTCAL,60,13,5,California,CA Central,San Francisco to Government Point,SMCA,Central Coast,Central Coast,Greyhound Rock SMCA,Mainland,2024-06-03 7:15:44 PM
